Language	Entropy	Count	Type	Model	LR
Bulgarian	2.77328932747	17	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Bulgarian	1.94625137547	13	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Bulgarian	3.11513738198	15	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Bulgarian	2.70945862084	22	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Bulgarian	3.99461672986	20	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Buryat-Adap	4.54511943654	31	MIWord5_Bugfix.py	REAL_REAL	0.001
Buryat-Adap	5.7156948833	9	MIWord5_Bugfix.py	REVERSE	0.001
Buryat-Adap	3.50055117161	11	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Buryat-Adap	3.58578625642	10	MIWord5_Content_Bugfix.py	REVERSE	0.001
Buryat-Adap	3.61110082337	47	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Buryat-Adap	3.63869404835	40	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Buryat-Adap	3.47181362954	19	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Buryat-Adap	3.88643911781	5	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Buryat-Adap	3.48275673789	17	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Buryat-Adap	3.8909502719	6	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Buryat-Adap	4.92024141687	20	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Buryat-Adap	5.80480172647	6	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Cantonese-Adap	5.8484914234	25	MIWord5_Bugfix.py	REAL_REAL	0.001
Cantonese-Adap	5.85259381318	23	MIWord5_Bugfix.py	REVERSE	0.001
Cantonese-Adap	2.32853229053	16	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Cantonese-Adap	2.31388166664	18	MIWord5_Content_Bugfix.py	REVERSE	0.001
Cantonese-Adap	2.37344794462	127	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Cantonese-Adap	2.35888731124	128	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Cantonese-Adap	2.85950592737	11	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Cantonese-Adap	2.81746255124	17	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Cantonese-Adap	2.86913745098	14	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Cantonese-Adap	2.86492726663	14	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Cantonese-Adap	6.15147738255	11	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Cantonese-Adap	6.08926982944	17	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Catalan	3.6073878731	17	MIWord5_Bugfix.py	REAL_REAL	0.001
Catalan	5.99269115553	2	MIWord5_Bugfix.py	REVERSE	0.001
Catalan	2.01296596755	14	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Catalan	2.20767418173	20	MIWord5_Content_Bugfix.py	REVERSE	0.001
Catalan	2.42295466288	35	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Catalan	3.30951298826	13	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Catalan	2.38963264088	10	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
